,Open,High,Low,Close,Volume,Moeda,Subiu,Acao,Data
187,95.19,96.03,94.57,95.93,12725800,'BRL',0,VALE3,2022-01-14
188,97.67,98.33,96.08,96.45,16731800,'BRL',0,VALE3,2022-01-13
189,96.72,98.25,96.4,97.83,24024900,'BRL',0,VALE3,2022-01-12
190,98.22,99.88,97.12,99.42,20440600,'BRL',0,VALE3,2022-01-11
191,99.66,100.34,98.51,99.45,19644500,'BRL',0,VALE3,2022-01-10
192,98.6,99.1,96.85,96.85,36654500,'BRL',0,VALE3,2022-01-09
193,97.45,98.03,96.17,96.35,19447500,'BRL',0,VALE3,2022-01-08
194,96.79,98.67,96.53,97.81,20728200,'BRL',0,VALE3,2022-01-07
195,99.49,100.22,98.07,98.35,25943200,'BRL',0,VALE3,2022-01-06
196,99.44,102.34,99.03,102.21,38105600,'BRL',0,VALE3,2022-01-05
197,103.53,103.54,101.44,102.56,21599300,'BRL',1,VALE3,2022-01-04
198,106.42,107.0,101.89,101.89,38698900,'BRL',1,VALE3,2022-01-03
199,101.25,105.47,100.67,105.47,28588600,'BRL',1,VALE3,2022-01-02
200,104.83,105.23,101.24,101.57,31627200,'BRL',1,VALE3,2022-01-01
201,99.5,101.47,98.36,99.93,34260600,'BRL',0,VALE3,2021-12-31
202,98.79,99.31,97.38,98.22,25596300,'BRL',0,VALE3,2021-12-30
203,99.05,101.11,98.76,100.79,26044300,'BRL',0,VALE3,2021-12-29
204,101.77,102.52,100.55,101.81,27044300,'BRL',1,VALE3,2021-12-28
205,99.58,100.19,97.58,99.72,32841300,'BRL',0,VALE3,2021-12-27
206,99.23,99.58,97.9,98.71,20891800,'BRL',0,VALE3,2021-12-26
207,98.71,98.83,96.39,97.19,27198200,'BRL',0,VALE3,2021-12-25
208,95.94,97.84,95.51,97.52,19238000,'BRL',0,VALE3,2021-12-24
209,97.97,98.51,94.86,95.1,23222600,'BRL',0,VALE3,2021-12-23
210,94.49,98.0,94.19,97.9,28127100,'BRL',0,VALE3,2021-12-22
211,98.43,99.58,97.51,98.6,55343200,'BRL',0,VALE3,2021-12-21
212,98.71,100.16,97.2,99.13,25106800,'BRL',0,VALE3,2021-12-20
213,99.94,102.06,99.94,101.97,17731100,'BRL',0,VALE3,2021-12-19
214,103.94,104.83,100.56,100.56,31136300,'BRL',1,VALE3,2021-12-18
215,101.47,102.78,100.83,101.98,20295500,'BRL',1,VALE3,2021-12-17
216,101.72,101.97,99.84,100.3,18323200,'BRL',1,VALE3,2021-12-16
217,99.67,100.07,98.34,99.32,22706100,'BRL',0,VALE3,2021-12-15
